timestamp,phase,label,ecological_modality,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
162280.20259349994,idle,idle,,83049.13770591925,74781.90351946079,67276.87298782206,62901.27100947156,87809.90533144474,72075.69124520976,48026.74988167035,141779.57239221636
162280.197307,idle,idle,,48541.533556311384,43716.91077095558,39269.26232008118,36788.48379404189,51341.98711406169,42154.378645495955,28103.61957397492,82879.7289679147
162280.21730699993,idle,idle,,30655.14936537072,27614.947211891922,24731.059306308784,23252.62760096532,32442.401372017885,26635.10750500249,17780.4969472798,52341.594432735474
162280.20277769997,idle,idle,,13816.58300375712,12443.853434975794,11131.272052695273,10488.697199666645,14621.224632570578,12002.0478118224,8016.878515746042,23582.152041621277
162280.2227776999,idle,idle,,-362.99661162343244,-331.8089538606026,-305.64571474899776,-273.22771608687697,-383.8622351291943,-311.9455996949652,-213.3581426259173,-620.6205416036418
162280.28798669996,idle,idle,,-11183.748871211541,-10079.336518935776,-9089.120655573606,-8463.975011919207,-11827.663819832223,-9710.80652984973,-6466.005462678945,-19107.313706270692
162280.3079866999,idle,idle,,-19076.686073435234,-17189.87801450988,-15528.947667179395,-14425.562569239237,-20178.947092169197,-16546.944272786866,-11010.672654414335,-32611.166091901952
162280.31569029996,idle,idle,,-24714.775755047995,-22260.60876965344,-20091.41123322423,-18686.5050508225,-26134.026871193662,-21437.13308132125,-14252.356508289244,-42238.985396377706
162280.3356902999,idle,idle,,-28517.551985784678,-25695.897045176203,-23186.468341689888,-21567.1243285797,-30155.306972067727,-24734.199630487634,-16435.717016287712,-48765.7140438203
162280.33616049995,idle,idle,,-30718.207731997616,-27671.63089102697,-24848.523233974884,-23247.521533078496,-32488.30017928787,-26657.737828850164,-17734.67420266619,-52492.468108008965
162280.3437257,idle,idle,,-31386.393429419535,-28258.156500173285,-25308.72879647516,-23772.503255188833,-33192.775853581516,-27252.586818830136,-18155.974528669693,-53596.738145818825
162280.36372569992,idle,idle,,-30776.206190559133,-27695.07578046031,-24787.777055942508,-23335.25950615526,-32540.560679167025,-26735.73251116183,-17836.074174749774,-52491.257971091
162280.36421469998,idle,idle,,-29194.921692577267,-26269.560301404777,-23524.532969201853,-22153.364117800757,-30864.778348864533,-25362.19762769638,-16938.730848707855,-49756.39822426505
162280.3842146999,idle,idle,,-26930.2035974122,-24238.063873564395,-21688.77951534961,-20436.851779960678,-28475.3781997971,-23404.254323400728,-15645.037897727523,-45889.527590555146
162280.38810249997,idle,idle,,-24142.521272627262,-21729.14701408611,-19420.209441415576,-18344.30122101012,-25521.72515040453,-20985.713208572204,-14048.471112163197,-41099.927282934535
162280.4081024999,idle,idle,,-20844.881441304653,-18762.481578396608,-16784.87396067288,-15841.100111386533,-22039.329651137512,-18121.47758261335,-12133.138043790892,-35479.313338256135
162280.49069819995,idle,idle,,-17223.663057929334,-15508.925874300628,-13895.82815725042,-13094.090337736661,-18205.709201911526,-14972.269888684583,-10030.597118239702,-29310.37758165418
162280.51069819988,idle,idle,,-13463.639222171754,-12123.10231049638,-10851.385607019789,-10228.502203187409,-14241.539393268306,-11702.997988731837,-7848.654924619138,-22933.022201434007
162280.50872649995,idle,idle,,-9762.323376944536,-8787.884786172717,-7874.812387423822,-7430.234065415422,-10322.859074608597,-8489.109576441426,-5695.018296689662,-16614.7503211944
162280.5787081,idle,idle,,-6140.650516105405,-5531.065549004687,-4941.436789422258,-4685.011056760164,-6502.766480394613,-5350.448322915548,-3599.7767199469854,-10455.133599218434
162280.59870809992,idle,idle,,-2648.908447454909,-2381.6216199156906,-2127.624265459276,-2031.2196967411546,-2808.301334836523,-2310.5355460195983,-1567.5653281893883,-4501.555331803519
162280.59157569997,idle,idle,,666.9411818653315,608.197668805174,547.738619287443,487.24692529325335,697.6393988064037,576.7799992726381,372.4067088041681,1140.8266610390926
162280.6115756999,idle,idle,,3703.904744622898,3336.675523060854,2975.7010929437124,2802.8251291183738,3910.7455643139824,3215.876288933589,2138.304096108038,6308.473956681957
162280.67800259998,idle,idle,,6457.567597401864,5801.496365182423,5092.008249445553,4908.382297575045,6811.263188493559,5620.73848307645,3771.794272814596,10943.167779520434
162280.6980025999,idle,idle,,8859.050698826832,7952.699032448808,6996.840391082183,6763.422488669582,9366.609240098856,7731.402480896264,5215.25005779465,15013.412133678785
162280.68855289996,idle,idle,,10891.485382113091,9790.8927392241,8810.731232753376,8301.07240912428,11502.909085361955,9484.040791836665,6381.898509005674,18461.87084460315
162280.7085528999,idle,idle,,12494.321759481101,11247.383463912269,10166.392364327614,9481.576085812976,13188.309817378653,10853.338204886566,7270.979505636906,21239.465122647223
162280.69862819993,idle,idle,,13738.609845237253,12374.19084993033,11121.160490589134,10410.87874043096,14502.399074085526,11921.146853150252,7952.126979474124,23388.39195634509
162280.76772509998,idle,idle,,14635.956782572228,13186.78245681796,11800.644579797694,11076.346393132666,15457.930139177166,12703.028973390035,8466.70355637949,24951.525528941176
162280.78772509992,idle,idle,,15204.895117910422,13699.330633131916,12268.976838338436,11503.672849100098,16069.674268784052,13195.329478464728,8787.5978120034,25947.285392377253
162280.830031,idle,idle,,15497.570924657939,13960.628021433575,12513.082170404632,11735.588142588495,16382.905326865688,13446.605768019768,8960.023538380152,26452.518104509418
162280.85003099992,idle,idle,,15479.897615936778,13945.916736694237,12506.961876468913,11719.511029276091,16375.37290959527,13440.29983890701,8950.91674415191,26440.039014675654
162280.84686969998,idle,idle,,15210.23601221891,13697.255143291777,12268.418755270437,11520.649260346923,16083.60072136402,13205.658515110832,8795.94343738129,25976.746823035824
162280.8668696999,idle,idle,,14692.178825100233,13234.116640300439,11864.256434539097,11130.339548734708,15544.136545012516,12757.043501770302,8504.012006053645,25091.57637275928
162280.86211369996,idle,idle,,13962.989787111232,12577.400628807614,11286.60011686372,10579.145665508591,14765.142396648082,12122.580474721091,8080.8640433580495,23843.34238551254
162280.8821136999,idle,idle,,13054.682774621077,11754.698957987837,10554.069222207674,9892.061367188968,13815.457318536788,11338.74340421222,7558.031672845529,22293.331345662675
162280.88468349993,idle,idle,,12022.951481807328,10816.413994988647,9676.134142539013,9122.143840948564,12718.066899229221,10440.753380832622,6973.34371580361,20517.048968959483
162280.8876355,idle,idle,,10885.444810351051,9790.790285549234,8757.791501147276,8275.961958788082,11511.639503176553,9464.69944437912,6332.442331503429,18544.592024973877
162280.90763549993,idle,idle,,9613.876770500121,8658.707110899326,7792.188852925152,7303.351827727138,10175.588518888822,8353.137146408973,5588.170154609358,16384.21574500224
