timestamp,phase_label,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
13996.3424199,baseline_start,-46037.08203125,-59566.32421875,-114088.9296875,50560.984375,-34547.66015625,-375000.03125,-108067.5546875,-84599.9609375
13996.346419900001,baseline_start,-44973.5859375,-58821.7421875,-116451.9609375,49971.97265625,-33528.46484375,-375000.03125,-113353.9609375,-85701.7734375
13996.350419900002,baseline_start,-44479.30078125,-58524.1953125,-118470.2734375,49891.68359375,-33131.8125,-375000.03125,-116029.78125,-85743.03125
13996.354419900003,baseline_start,-45084.8984375,-58909.00390625,-116861.9765625,50397.28125,-33675.31640625,-375000.03125,-112279.515625,-84867.828125
13996.358419900003,baseline_start,-46017.9921875,-59558.09765625,-114213.5234375,50614.5859375,-34513.28125,-375000.03125,-108043.59375,-84485.96875
13996.362419900004,baseline_start,-45200.27734375,-58966.22265625,-115816.3671875,50063.34765625,-33723.91015625,-375000.03125,-112244.5078125,-85537.21875
13996.366419900005,baseline_start,-44431.5546875,-58477.79296875,-118370.8984375,49858.9609375,-33093.45703125,-375000.03125,-116155.125,-85810.4453125
13996.370419900006,baseline_start,-44921.37109375,-58805.29296875,-117312.6796875,50295.04296875,-33558.640625,-375000.03125,-113169.4296875,-85008.328125
13996.374419900007,baseline_start,-45930.8671875,-59500.02734375,-114496.2734375,50634.43359375,-34459.99609375,-375000.03125,-108320.390625,-84445.9140625
13996.3687532,baseline_start,-45461.34375,-59170.0703125,-115249.8359375,50144.3046875,-33962.3125,-375000.03125,-111088.8359375,-85367.5703125
13996.372753200001,baseline_start,-44449.5703125,-58477.21484375,-118217.1171875,49825.61328125,-33092.3359375,-375000.03125,-116052.484375,-85867.9765625
13996.376753200002,baseline_start,-44809.5234375,-58733.05078125,-117710.8984375,50193.34375,-33456.4921875,-375000.03125,-113980.703125,-85180.3515625
13996.380753200003,baseline_start,-45812.4921875,-59404.18359375,-114916.078125,50623.703125,-34315.69140625,-375000.03125,-108892.5078125,-84458.4765625
13996.384753200004,baseline_start,-45699.390625,-59328.9921875,-114772.8984375,50249.0,-34183.640625,-375000.03125,-110014.65625,-85169.3984375
13996.388753200004,baseline_start,-44500.7578125,-58508.4140625,-117914.03125,49820.828125,-33148.08203125,-375000.03125,-115716.2734375,-85886.578125
13996.392753200005,baseline_start,-44702.86328125,-58670.734375,-118021.5,50078.6328125,-33361.40625,-375000.03125,-114727.5625,-85353.578125
13996.396753200006,baseline_start,-45620.3125,-59261.04296875,-115359.09375,50587.40625,-34169.2890625,-375000.03125,-109642.4140625,-84488.96875
13996.400753200007,baseline_start,-45874.8984375,-59458.8125,-114375.3046875,50355.6171875,-34364.5078125,-375000.03125,-109104.625,-84947.625
13996.4388099,baseline_start,-44606.703125,-58594.29296875,-117451.6640625,49852.34375,-33173.20703125,-375000.03125,-115115.9921875,-85873.03125
13996.442809900002,baseline_start,-44594.5,-58597.64453125,-118200.21875,50010.73046875,-33238.33984375,-375000.03125,-115302.8515625,-85497.25
13996.446809900002,baseline_start,-45433.13671875,-59127.37890625,-115878.859375,50537.0234375,-34040.453125,-375000.03125,-110509.4375,-84593.8828125
13996.450809900003,baseline_start,-46000.828125,-59569.18359375,-114183.5703125,50454.58984375,-34522.1796875,-375000.03125,-108456.3828125,-84766.9765625
13996.454809900004,baseline_start,-44770.36328125,-58715.16796875,-116981.3359375,49892.66796875,-33350.72265625,-375000.03125,-114317.0546875,-85815.671875
13996.458809900005,baseline_start,-44510.01171875,-58555.578125,-118382.390625,49938.17578125,-33185.0078125,-375000.03125,-115762.8515625,-85640.6640625
13996.462809900006,baseline_start,-45240.6015625,-58993.76171875,-116382.0,50471.35546875,-33852.65625,-375000.03125,-111428.984375,-84711.140625
13996.466809900006,baseline_start,-46059.2109375,-59574.28125,-114095.234375,50538.8125,-34556.33203125,-375000.03125,-108107.3828125,-84611.0078125
13996.470809900007,baseline_start,-44990.4375,-58841.01171875,-116385.3515625,49952.03515625,-33583.8515625,-375000.03125,-113320.296875,-85694.53125
13996.4512711,baseline_start,-44461.73046875,-58517.84765625,-118428.65625,49873.4453125,-33141.64453125,-375000.03125,-116061.0234375,-85736.5078125
13996.455271100001,baseline_start,-45075.33203125,-58905.96484375,-116879.0546875,50368.71484375,-33704.77734375,-375000.03125,-112372.8984375,-84887.40625
13996.459271100002,baseline_start,-46013.8359375,-59547.37109375,-114211.109375,50604.70703125,-34518.109375,-375000.03125,-108080.78125,-84499.421875
13996.463271100003,baseline_start,-45209.7109375,-58988.9765625,-115789.6796875,50054.18359375,-33737.67578125,-375000.03125,-112180.09375,-85539.5
13996.467271100004,baseline_start,-44437.01171875,-58480.4765625,-118345.375,49838.7109375,-33068.9140625,-375000.03125,-116179.1796875,-85831.859375
13996.471271100005,baseline_start,-44919.13671875,-58793.66796875,-117281.8359375,50279.890625,-33575.359375,-375000.03125,-113231.7890625,-85029.0703125
13996.475271100006,baseline_start,-45911.1953125,-59486.03515625,-114471.4140625,50633.62890625,-34438.44921875,-375000.03125,-108365.453125,-84447.75
13996.479271100006,baseline_start,-45464.02734375,-59175.2578125,-115149.4296875,50153.55859375,-33941.75,-375000.03125,-111017.578125,-85346.8671875
13996.483271100007,baseline_start,-44441.12109375,-58482.84375,-118136.4296875,49824.5859375,-33085.140625,-375000.03125,-116045.875,-85870.5703125
13996.467504600001,baseline_start,-44785.1171875,-58728.4453125,-117679.5625,50185.34375,-33462.52734375,-375000.03125,-114041.28125,-85197.6484375
13996.471504600002,baseline_start,-45763.9453125,-59390.37109375,-114892.7421875,50621.73828125,-34337.15234375,-375000.03125,-108960.1015625,-84469.515625
13996.475504600003,baseline_start,-45701.58203125,-59357.6484375,-114682.4140625,50248.015625,-34253.95703125,-375000.03125,-109955.6953125,-85162.46875
13996.479504600004,baseline_start,-44505.2734375,-58529.828125,-117829.71875,49822.6171875,-33145.04296875,-375000.03125,-115693.4765625,-85874.1484375
13996.483504600004,baseline_start,-44673.71484375,-58663.76171875,-117963.203125,50092.76171875,-33320.86328125,-375000.03125,-114749.7421875,-85331.9375
13996.487504600005,baseline_start,-45592.4609375,-59247.6328125,-115341.8828125,50602.37890625,-34116.8515625,-375000.03125,-109690.78125,-84480.0234375
13996.491504600006,baseline_start,-45870.65234375,-59455.7265625,-114282.859375,50382.3515625,-34339.56640625,-375000.03125,-109032.703125,-84917.671875
13996.495504600007,baseline_start,-44603.39453125,-58577.08203125,-117347.5,49862.671875,-33238.5625,-375000.03125,-115066.640625,-85843.6171875
13996.499504600008,baseline_start,-44562.76171875,-58589.328125,-118130.125,50022.21875,-33239.7265625,-375000.03125,-115320.0234375,-85479.859375
13996.496429100001,baseline_start,-45398.3125,-59123.35546875,-115852.890625,50545.78515625,-33937.859375,-375000.03125,-110554.046875,-84583.421875
13996.500429100002,baseline_start,-46000.515625,-59537.98046875,-114077.3125,50474.08203125,-34465.44921875,-375000.03125,-108393.6171875,-84744.046875
13996.504429100003,baseline_start,-44780.5546875,-58683.07421875,-116871.0546875,49894.5,-33351.125,-375000.03125,-114257.6875,-85826.3125
13996.508429100004,baseline_start,-44519.48828125,-58552.8046875,-118354.1796875,49915.95703125,-33200.7421875,-375000.03125,-115811.8515625,-85665.78125
13996.512429100005,baseline_start,-45236.53125,-59026.44140625,-116412.484375,50444.0390625,-33858.734375,-375000.03125,-111512.1796875,-84717.4453125
13996.516429100006,baseline_start,-46038.06640625,-59588.67578125,-114075.875,50545.51953125,-34534.875,-375000.03125,-108076.7578125,-84591.3828125
13996.520429100006,baseline_start,-44997.63671875,-58856.38671875,-116278.5546875,49962.98828125,-33536.9140625,-375000.03125,-113222.84375,-85679.5546875
13996.524429100007,baseline_start,-44476.03515625,-58535.5078125,-118361.734375,49860.16796875,-33172.4453125,-375000.03125,-116086.7734375,-85747.28125
