timestamp,phase,label,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
11386.080559300004,setup,setup,9.052574432313055,0.5217391593221237,17.921824615348896,39.598336543081984,-0.013316125057826866,-0.013316125057826866,25.61332586884032,16.34787370073559
11386.099240000001,setup,setup,-2.3297467385926307,-8.593012254541918,10.137437415450563,12.67943645431049,-0.0111540620582673,-0.0111540620582673,-6.801111461518303,11.531973989674611
11386.119240000005,setup,setup,-14.533153059072681,-16.83326999170231,-0.8729995244631255,7.425190216296045,-0.009014448801281105,-0.009014448801281105,-7.10542446996601,0.2781307507134443
11386.167157100002,setup,setup,-23.60063689024313,-21.8529402046031,-5.768581260350402,-6.155908971431558,-0.006927913189429091,-0.006927913189429091,-4.383319117580186,9.32714435289347
11386.187157100007,setup,setup,-53.54206257327873,-44.33842012266018,-24.323999709306122,-24.771739013702216,-0.00492155368465319,-0.00492155368465319,-18.4689925926632,-6.2762771710683865
11386.178434600002,setup,setup,-54.780842851830734,-44.42605437099246,-22.658453504927024,-17.169245298551033,-0.003018840252480004,-0.003018840252480004,-4.21363253796153,-5.965453568464909
11386.198434600006,setup,setup,-24.412860537770644,-15.49107058992172,-7.986776922804893,-15.965669559734067,-0.0012395782569001312,-0.0012395782569001312,-7.3787100215656665,-9.685923829159151
11386.200816800003,setup,setup,2.581009103207901,-4.578033638078068,-3.0161416566343178,0.76131727498381,0.0004000669032393489,0.0004000669032393489,5.147622459169725,-3.7720813834422415
11386.220816800007,setup,setup,30.152506782465228,20.775947846086638,15.714853887166214,15.99845053829398,0.0018874929492085357,0.0018874929492085357,13.832202293635419,9.661508762146582
11386.257772800003,setup,setup,37.63678326175834,27.438199086667964,18.629030497301073,28.022414785386644,0.003213537438568892,0.003213537438568892,30.32754176767503,-0.32368588026724865
11386.2604087,setup,setup,38.82716611185329,27.95593608620834,27.257397340331977,41.05810174566861,0.004372311149381858,0.004372311149381858,35.10796067771889,6.578759818319668
11386.280408700004,setup,setup,20.028212242989483,11.336588604927556,6.1487047283357015,9.805295227568905,0.005360996262425033,0.005360996262425033,14.631997489027071,4.427213638832768
11386.294669200002,setup,setup,22.284593154029587,19.86565601147481,8.336022907973074,7.298273326756316,0.006179616546432953,0.006179616546432953,7.1798898558340625,6.329158467503248
11386.314669200006,setup,setup,8.733783205152925,8.562573684686413,-11.604583897096745,-13.120495853601568,0.006830785336205736,0.006830785336205736,-16.84079659456097,-11.507770238878152
11386.346037600002,setup,setup,-10.982183528774776,-17.18217160964673,-28.794102389106683,-41.616550759622385,0.007319435668250662,0.007319435668250662,-46.17856128636845,-40.1570947350159
11386.366037600006,setup,setup,-13.856779168623483,-24.12992642453787,-32.59329810646432,-48.48830873476379,0.007652541721654416,0.007652541721654416,-43.19056610775556,-39.83674358382939
