timestamp,phase_label,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
15945.3047291,baseline_start,-53442.52734375,-113234.3359375,-91207.8515625,20717.7421875,-59843.484375,-375000.03125,-58357.00390625,-72279.6796875
15945.308729100001,baseline_start,-53359.421875,-113349.3125,-91273.4765625,19434.662109375,-58081.54296875,-375000.03125,-58538.546875,-72270.828125
15945.312729100002,baseline_start,-54013.75,-114412.6328125,-86044.15625,27891.578125,-47479.6640625,-375000.03125,-59776.4765625,-73096.234375
15945.316729100003,baseline_start,-54457.96875,-114810.9375,-83854.53125,32521.51953125,-45284.09765625,-375000.03125,-60192.84375,-73557.7578125
15945.320729100004,baseline_start,-53563.671875,-113377.03125,-90399.6640625,22202.5234375,-58505.59765625,-375000.03125,-58514.98828125,-72411.734375
15945.324729100004,baseline_start,-53313.46875,-113244.9296875,-91723.015625,18821.6875,-59287.73046875,-375000.03125,-58407.87890625,-72195.953125
15945.328729100005,baseline_start,-53859.7890625,-114182.8515625,-87079.890625,26127.087890625,-49350.953125,-375000.03125,-59512.1875,-72899.6328125
15945.332729100006,baseline_start,-54502.53515625,-114925.15625,-83395.25,33038.78125,-44031.68359375,-375000.03125,-60331.78125,-73618.0625
15945.336729100007,baseline_start,-53724.7421875,-113586.2421875,-89390.4375,23951.7265625,-56684.828125,-375000.03125,-58753.79296875,-72595.203125
15945.312009000001,baseline_start,-53300.59375,-113177.0703125,-92050.0234375,18458.650390625,-60244.96875,-375000.03125,-58325.22265625,-72162.0234375
15945.316009000002,baseline_start,-53742.578125,-113997.109375,-88136.9921875,24366.708984375,-51343.1640625,-375000.03125,-59292.60546875,-72753.984375
15945.320009000003,baseline_start,-54483.22265625,-114965.8828125,-83336.8671875,32909.3203125,-43535.5625,-375000.03125,-60389.2265625,-73628.1640625
15945.324009000004,baseline_start,-53891.796875,-113834.078125,-88210.3046875,25912.64453125,-54446.61328125,-375000.03125,-59033.234375,-72799.2265625
15945.328009000004,baseline_start,-53290.84765625,-113138.578125,-92173.8515625,18459.0078125,-60823.20703125,-375000.03125,-58260.9375,-72136.6796875
15945.332009000005,baseline_start,-53614.0546875,-113798.4921875,-89091.1875,22811.966796875,-53237.828125,-375000.03125,-59057.1953125,-72586.84375
15945.336009000006,baseline_start,-54418.40625,-114920.4609375,-83631.2421875,32230.72265625,-43714.82421875,-375000.03125,-60339.6484375,-73556.234375
15945.340009000007,baseline_start,-54077.98828125,-114103.375,-86991.9140625,27875.88671875,-52018.85546875,-375000.03125,-59355.3671875,-73029.765625
15945.344009000008,baseline_start,-53306.71875,-113110.953125,-92119.8984375,18777.38671875,-61024.23828125,-375000.03125,-58250.03125,-72159.65625
15945.3292435,baseline_start,-53489.77734375,-113604.4375,-89938.234375,21451.638671875,-54994.41015625,-375000.03125,-58870.2890625,-72470.4765625
15945.333243500001,baseline_start,-54300.296875,-114802.7578125,-84215.515625,31107.591796875,-44462.1796875,-375000.03125,-60209.7421875,-73437.59375
15945.337243500002,baseline_start,-54275.48828125,-114421.796875,-85739.4140625,29814.677734375,-49454.0390625,-375000.03125,-59666.37109375,-73236.15625
15945.341243500003,baseline_start,-53388.2109375,-113183.2421875,-91792.6640625,19536.408203125,-60736.34765625,-375000.03125,-58260.71484375,-72188.3984375
15945.345243500004,baseline_start,-53441.72265625,-113500.234375,-90661.21875,20321.177734375,-56653.80078125,-375000.03125,-58699.34375,-72366.71875
15945.349243500004,baseline_start,-54181.96875,-114647.1015625,-85055.8046875,29594.333984375,-45819.51171875,-375000.03125,-60026.3671875,-73291.6328125
15945.353243500005,baseline_start,-54391.2265625,-114650.9453125,-84686.5078125,31363.654296875,-47203.84375,-375000.03125,-59975.80859375,-73442.375
15945.357243500006,baseline_start,-53467.11328125,-113262.0546875,-91238.703125,20651.177734375,-59923.4140625,-375000.03125,-58371.17578125,-72298.1015625
15945.361243500007,baseline_start,-53398.09375,-113397.28125,-91288.5859375,19393.3125,-58120.078125,-375000.03125,-58571.44921875,-72306.1484375
15945.401191300001,baseline_start,-54032.97265625,-114443.03125,-86042.859375,27876.826171875,-47484.22265625,-375000.03125,-59796.01171875,-73114.921875
15945.405191300002,baseline_start,-54476.1171875,-114831.546875,-83872.1015625,32478.55859375,-45318.5625,-375000.03125,-60205.58203125,-73566.1171875
15945.409191300003,baseline_start,-53586.47265625,-113404.296875,-90445.03125,22119.017578125,-58587.49609375,-375000.03125,-58538.234375,-72431.4921875
15945.413191300004,baseline_start,-53341.05078125,-113281.859375,-91761.59375,18765.98828125,-59338.9609375,-375000.03125,-58435.50390625,-72223.4921875
15945.417191300005,baseline_start,-53886.56640625,-114224.875,-87105.3671875,26093.158203125,-49377.4609375,-375000.03125,-59542.36328125,-72926.40625
15945.421191300005,baseline_start,-54519.48046875,-114957.5234375,-83444.109375,32964.88671875,-44106.47265625,-375000.03125,-60347.6953125,-73639.5625
15945.425191300006,baseline_start,-53741.55078125,-113612.796875,-89430.625,23886.548828125,-56741.19921875,-375000.03125,-58758.578125,-72605.9765625
15945.429191300007,baseline_start,-53311.94921875,-113213.4140625,-92060.078125,18439.65234375,-60259.18359375,-375000.03125,-58337.06640625,-72177.7578125
15945.433191300008,baseline_start,-53753.796875,-114026.703125,-88136.1015625,24366.75390625,-51346.55859375,-375000.03125,-59304.046875,-72764.8046875
15945.4146421,baseline_start,-54510.8515625,-115010.3125,-83372.40625,32865.2890625,-43585.98828125,-375000.03125,-60412.73828125,-73652.703125
15945.418642100001,baseline_start,-53916.609375,-113863.40625,-88276.6953125,25823.685546875,-54542.7265625,-375000.03125,-59050.22265625,-72821.265625
15945.422642100002,baseline_start,-53308.73046875,-113163.703125,-92210.328125,18407.64453125,-60871.12890625,-375000.03125,-58280.3828125,-72159.1171875
15945.426642100003,baseline_start,-53641.7265625,-113839.0859375,-89094.453125,22809.373046875,-53225.04296875,-375000.03125,-59085.62890625,-72615.6328125
15945.430642100004,baseline_start,-54439.19140625,-114954.078125,-83631.953125,32235.013671875,-43699.984375,-375000.03125,-60364.19140625,-73584.3984375
15945.434642100005,baseline_start,-54090.32421875,-114137.703125,-87021.7734375,27829.6640625,-52069.86328125,-375000.03125,-59370.7890625,-73048.2734375
15945.438642100005,baseline_start,-53340.06640625,-113169.15625,-92168.9375,18701.97265625,-61113.64453125,-375000.03125,-58270.50390625,-72184.6875
