phase,mode,n_windows,sr_used_Hz,mean_theta_fz,mean_alpha_pz,mean_ratio,median_ratio,std_ratio,fz_artifact_pct,pz_artifact_pct
baseline_eyes_open,real,187,49.985592244936456,1.2885257397996208,2.942929180470626,0.7170766893611041,0.3705374318327259,1.0557741538063472,0.7746790615316512,1.0181496237273129
baseline_eyes_open,step4,35,250.0,2.540533710812727,9.068844950124948,0.290981426745952,0.27956226042144816,0.1333885778784915,0.7746790615316512,1.0181496237273129
baseline_eyes_closed,real,130,49.993459982710206,0.7996991545501957,25.228922483076627,0.06374741515193087,0.02975464258071795,0.10100283527836325,0.5316792202038104,0.31014621178555607
baseline_eyes_closed,step4,35,250.0,1.338924200094049,1.861515547473234,0.7361571249156499,0.5114175825563929,0.8515582537721648,0.5316792202038104,0.31014621178555607
low_cognitive_load,real,344,50.002890304328155,1.410847593987699,6.56284284849234,0.43914071917046993,0.1346167315826687,0.9279996137762393,0.6973655080805845,1.062652202789462
low_cognitive_load,step4,71,250.0,2.7873489142378816,5.260939162956933,0.7648695859121966,0.44697887930651586,1.2977899108339561,0.6973655080805845,1.062652202789462
high_cognitive_load,real,362,49.99952198532675,1.3821417864646597,7.700641475205062,0.5664545334538026,0.12077443698948748,2.187497206906045,0.630391506303915,1.094890510948905
high_cognitive_load,step4,71,250.0,1.9901314062317101,4.542523765839969,0.7559103295709716,0.3392479489887333,0.9923788459408166,0.630391506303915,1.094890510948905
