timestamp,phase,label,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
15304.042439600007,setup,setup,-17.842550684565367,-5.348181728843883,-13.174838949385503,-4.974964556954092,-3.346764606249053e-05,-3.346764606249053e-05,-25.345980204112493,614.0974103824292
15304.4305005,setup,setup,-33.56939799613042,-16.193178922667812,-36.822492359796115,-161.52565079572742,-3.236950306018116e-05,-3.236950306018116e-05,-152.23247953575583,-1052.6140716813325
15304.785949500001,setup,setup,32.78203526405764,21.692576510033177,0.5814561540621526,-99.35364971532772,-3.473167998890858e-05,-3.473167998890858e-05,-183.94878841711125,-3950.6821837094712
15305.177818900002,setup,setup,-60.61625904156199,-37.66069568143848,-50.99371714157496,167.46357090151287,-3.292423389211763e-05,-3.292423389211763e-05,499.10483299332736,2004.2063171409436
15305.5292995,setup,setup,-32.2776539429085,-56.6558531407868,39.1763194076093,-29.721012313536903,-3.113018010481028e-05,-3.113018010481028e-05,132.8669661521908,-116.05132529311868
15305.9331457,setup,setup,-89.14570673353069,-58.993291951581796,-70.59037085238992,-248.4953989394494,-3.254031526012113e-05,-3.254031526012113e-05,78.92388888513096,949.0194183984249
15306.302165500003,setup,setup,-82.98480651780733,-90.37163757790404,-99.26652094801238,-76.36863291811733,-3.6159174669592176e-05,-3.6159174669592176e-05,162.28906771522952,53.06857236499491
15306.695878300003,setup,setup,20.50696298963794,53.791699667095145,-0.4051777450215468,-5.879603427790698,-3.507920973788714e-05,-3.507920973788714e-05,-158.4879700897045,-230.65836569576368
15307.087383800002,setup,setup,-16.65661925587483,-35.450793228951625,19.264179303017045,-32.86050608925825,-3.212247702322202e-05,-3.212247702322202e-05,-27.779555820487076,152.8384522073493
15307.484483700004,setup,setup,-72.24085072362391,-27.627151591196252,-89.98947949397984,-97.51516540854573,-3.5608299185696524e-05,-3.5608299185696524e-05,-154.32925889497847,-44.40506386702964
15307.893839400003,setup,setup,-66.14130610024222,-95.0838670086373,-53.03035593038271,-59.07293344393656,-3.5968527299701236e-05,-3.5968527299701236e-05,-60.19329748455766,0.4295753144269838
