subject,phase,t_start,log_theta_region,log_alpha_region,log_ratio
1,baseline_eyes_open,0.0,1.314200534912336,1.3719269703530637,-0.05772643544072764
1,baseline_eyes_open,0.9994017455556079,1.7284237725062646,1.7160376964263604,0.012386076079904162
1,baseline_eyes_open,1.9988034911112158,3.1298834259218276,1.8027079655134355,1.327175460408392
1,baseline_eyes_open,2.998205236666824,3.7252871495972575,2.0678438134507595,1.657443336146498
1,baseline_eyes_open,3.9976069822224316,4.533577975269496,2.5433775592185786,1.990200416050917
1,baseline_eyes_open,4.99700872777804,2.848828696556918,1.5299575596005595,1.3188711369563586
1,baseline_eyes_open,5.996410473333648,4.140091635421961,1.9788383272883696,2.161253308133592
1,baseline_eyes_open,6.995812218889255,4.379628501488107,3.84040146459987,0.5392270368882373
1,baseline_eyes_open,7.995213964444863,3.480941146132461,2.345373812650832,1.135567333481629
1,baseline_eyes_open,8.99461571000047,2.740804719969977,1.0752029876449167,1.6656017323250605
1,baseline_eyes_open,9.99401745555608,2.8226084003497456,1.9560990757066878,0.8665093246430577
1,baseline_eyes_open,10.993419201111687,2.884411000412474,1.9738695897511385,0.9105414106613356
1,baseline_eyes_open,11.992820946667296,4.350781166902017,1.992940517242703,2.3578406496593143
1,baseline_eyes_open,12.992222692222903,3.3218927744844495,2.031090020379398,1.2908027541050515
1,baseline_eyes_open,13.99162443777851,3.1603423216772852,1.5091526776208515,1.6511896440564338
1,baseline_eyes_open,14.99102618333412,2.910915500450199,1.178862461788959,1.7320530386612403
1,baseline_eyes_open,15.990427928889726,3.5508785448605025,1.849308273457624,1.7015702714028784
1,baseline_eyes_open,16.989829674445335,4.299631124811502,1.995509644919039,2.304121479892463
1,baseline_eyes_open,17.98923142000094,2.542958276712272,0.4207607370125374,2.1221975396997346
1,baseline_eyes_open,18.98863316555655,3.432127588989714,1.161936898514184,2.2701906904755296
1,baseline_eyes_open,19.98803491111216,3.968022443638729,1.7902295473398449,2.177792896298884
1,baseline_eyes_open,20.987436656667764,3.849392893453905,2.4555608059746388,1.3938320874792662
1,baseline_eyes_open,21.986838402223373,3.547957076931727,1.0130706762976576,2.5348864006340692
1,baseline_eyes_open,22.986240147778982,3.3179630313168436,1.0034941208230652,2.3144689104937783
1,baseline_eyes_open,23.98564189333459,3.354708503270538,1.9246745234157512,1.430033979854787
1,baseline_eyes_open,24.985043638890197,3.2116596317805257,1.1353948146784678,2.076264817102058
1,baseline_eyes_open,25.984445384445806,2.3958619466205664,1.0850064339270338,1.3108555126935326
1,baseline_eyes_open,26.983847130001415,3.533204710332875,1.8021210706838249,1.7310836396490503
