timestamp,label,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
0.0,pre,-121620.0,-177508.0,-90204.8,-122673.9,-375000.0,-375000,-146982.3,-139932.5
0.004000000000814907,pre,-121710.5,-177488.5,-90185.13,-122765.6,-375000.0,-375000,-147005.8,-140007.4
0.008000000001629815,pre,-121719.2,-177514.2,-90207.84,-122710.3,-375000.0,-375000,-146989.0,-139978.2
0.012000000002444722,pre,-121612.9,-177522.9,-90222.77,-122580.4,-375000.0,-375000,-146949.3,-139880.9
0.01600000000325963,pre,-121611.4,-177497.0,-90202.52,-122635.6,-375000.0,-375000,-146978.5,-139914.2
0.01999999999679858,pre,-121710.8,-177456.2,-90181.2,-122756.9,-375000.0,-375000,-147018.9,-140011.3
0.023999999997613486,pre,-121730.9,-177486.9,-90191.03,-122709.7,-375000.0,-375000,-146981.0,-139970.5
0.027999999998428393,pre,-121613.6,-177505.1,-90190.49,-122547.2,-375000.0,-375000,-146901.7,-139831.9
0.0319999999992433,pre,-121575.6,-177483.4,-90168.72,-122558.6,-375000.0,-375000,-146911.0,-139830.7
0.03600000000005821,pre,-121620.0,-177508.0,-90204.8,-122673.9,-375000.0,-375000,-146982.3,-139932.5
0.040000000000873115,pre,-121710.5,-177488.5,-90185.13,-122765.6,-375000.0,-375000,-147005.8,-140007.4
0.04400000000168802,pre,-121719.2,-177514.2,-90207.84,-122710.3,-375000.0,-375000,-146989.0,-139978.2
0.04800000000250293,pre,-121612.9,-177522.9,-90222.77,-122580.4,-375000.0,-375000,-146949.3,-139880.9
0.05200000000331784,pre,-121611.4,-177497.0,-90202.52,-122635.6,-375000.0,-375000,-146978.5,-139914.2
0.055999999996856786,pre,-121710.8,-177456.2,-90181.2,-122756.9,-375000.0,-375000,-147018.9,-140011.3
0.059999999997671694,pre,-121730.9,-177486.9,-90191.03,-122709.7,-375000.0,-375000,-146981.0,-139970.5
0.0639999999984866,pre,-121613.6,-177505.1,-90190.49,-122547.2,-375000.0,-375000,-146901.7,-139831.9
0.06799999999930151,pre,-121575.6,-177483.4,-90168.72,-122558.6,-375000.0,-375000,-146911.0,-139830.7
0.07200000000011642,pre,-121718.5,-177472.1,-90158.84,-122729.0,-375000.0,-375000,-146982.0,-139969.4
0.07600000000093132,pre,-121745.5,-177462.4,-90155.94,-122707.2,-375000.0,-375000,-146964.1,-139962.0
0.08000000000174623,pre,-121651.2,-177486.7,-90177.44,-122575.9,-375000.0,-375000,-146913.5,-139859.3
0.08400000000256114,pre,-121564.7,-177465.7,-90154.02,-122535.4,-375000.0,-375000,-146892.7,-139814.9
0.08800000000337604,pre,-121669.4,-177449.5,-90136.13,-122699.3,-375000.0,-375000,-146953.8,-139941.5
0.091999999996915,pre,-121712.9,-177436.4,-90130.05,-122710.8,-375000.0,-375000,-146941.0,-139951.7
0.0959999999977299,pre,-121647.2,-177461.0,-90152.14,-122604.6,-375000.0,-375000,-146901.3,-139876.2
0.09999999999854481,pre,-121547.9,-177456.2,-90145.07,-122540.2,-375000.0,-375000,-146881.7,-139820.2
0.10399999999935972,pre,-121661.1,-177443.4,-90137.66,-122714.1,-375000.0,-375000,-146961.0,-139954.1
0.10800000000017462,pre,-121747.1,-177437.4,-90131.62,-122761.4,-375000.0,-375000,-146959.9,-139992.5
0.11200000000098953,pre,-121696.4,-177456.2,-90150.75,-122657.5,-375000.0,-375000,-146922.2,-139922.7
