subject,sr_hz,low,high,delta,alpha_open,alpha_closed,berger_ok,high_gt_low,min_windows_low_high
1,50.02993062835104,6.341307427085687,2.339477531417007,-4.00182989566868,5.4176455671433486,10.962195354012158,True,False,356
4,50.0263256450024,13.108694394863932,9.358201607640583,-3.750492787223349,16.635989361188933,73.8818120266589,True,False,353
2,50.02371118351617,3.843657225381238,7.366648726277024,3.522991500895786,18.82692056682406,35.63173074370179,True,True,252
clau2,50.01451759898568,0.8448304854626872,0.7290437088829791,-0.11578677657970815,3.6741755749316716,9.968832282123923,True,False,360
3,50.01209374260455,0.3011942392024948,0.4836339443011971,0.18243970509870233,45.40140262916336,44.39428208152392,False,True,351
heberto,50.0063777022868,0.21172477291613195,0.3477157148272396,0.13599094191110767,107.3919316561427,139.52005148898573,True,True,341
jonhy,49.990812550371004,0.8295507536002205,1.7798377442556783,0.9502869906554579,2.6144535000459124,4.541646628223146,True,True,357
michelle,49.985592244936456,0.43914071917046993,0.5613506600994833,0.12220994092901338,2.9625018282833095,26.662203572519278,True,True,344
Rafael,20.01047262060874,21.835569405899147,32.64008148801212,10.804512082112975,0.08444077785114659,0.11428830823037277,True,True,8
mai,2.685369470514479,,,,,,False,False,0
Jeronimo,2.619148709795224,,,,,,False,False,0
Edgar,2.618609397285333,,,,,,False,False,0
Joss,2.6180395112361943,,,,,,False,False,0
edwin2,2.615649421771707,,,,,,False,False,0
Daniel,2.6134375700302814,,,,,,False,False,0
eliza,2.6102363230663777,,,,,,False,False,0
Edwin,2.5952379597744764,,,,,,False,False,0
