subject,phase,n_samples,duration_s,sr_hz,fz_artifact_pct,pz_artifact_pct,n_windows,mean_ratio,median_ratio,std_ratio,mean_theta_fz,mean_alpha_pz
1,baseline_eyes_open,4500,89.94615710000471,50.02993062835104,9.688888888888888,1.4444444444444444,156,15.8600528922794,6.408190840024433,21.0879714175471,56.72374067374869,5.4176455671433486
1,baseline_eyes_closed,4506,90.02903750000587,50.05051842301109,6.036395916555703,1.5090989791389258,178,6.325230694554593,2.0485928907696866,12.263427931169698,37.182816400571014,10.962195354012158
1,low_cognitive_load,9004,179.98337630000606,50.02684239566461,4.320302087960906,1.6548200799644603,356,6.341307427085687,2.1023686023815715,12.326307213399488,14.892253648704651,3.915048471905455
1,high_cognitive_load,8999,179.94116200000826,50.01079186095056,2.4224913879319923,1.4001555728414268,358,2.339477531417007,1.1876150163924932,3.6396900194672543,6.594242047802051,5.934149750793627
2,baseline_eyes_open,4500,89.95734010000524,50.02371118351617,5.066666666666666,4.511111111111111,178,4.841698041682508,2.322434042920902,7.613184245869459,59.14432354020447,18.82692056682406
2,baseline_eyes_closed,4500,89.98730230000183,50.0070552731739,1.1555555555555554,0.9111111111111111,179,1.6015514717620134,0.9742298436022934,1.8497804198368755,36.10012183533799,35.63173074370179
2,low_cognitive_load,9000,179.97876290000568,50.0058998905349,1.7333333333333334,11.11111111111111,353,3.843657225381238,1.1179281087895827,10.419127880483492,290.8303689428205,187.65076075235018
2,high_cognitive_load,8999,179.98254590000943,49.999292736971604,9.601066785198356,64.95166129569952,252,7.366648726277024,0.41734232608949307,18.49311468638396,262.84774914225517,436.07070021156943
3,baseline_eyes_open,4498,89.93824620000305,50.01209374260455,6.936416184971098,10.404624277456648,177,0.43303442772303313,0.20963948040657363,0.8054635508422789,12.156536603328806,45.40140262916336
3,baseline_eyes_closed,4502,90.01651790000506,50.01304321725765,1.6659262549977787,5.819635717458907,176,0.32536208769962727,0.11805093560957686,0.8685599448360256,6.662735077466343,44.39428208152392
3,low_cognitive_load,9000,179.96101890000318,50.01083042878816,4.133333333333334,9.188888888888888,357,0.3011942392024948,0.1558099595207173,0.45088711403135023,6.4177174437939,35.15029694753753
3,high_cognitive_load,9000,179.92569610000282,50.02064849590908,4.511111111111111,9.955555555555556,351,0.4836339443011971,0.18999131368387992,0.9944515498881312,80.51005303170894,371.0949472679012
4,baseline_eyes_open,4499,89.93264930000805,50.0263256450024,4.045343409646589,4.312069348744165,178,4.104375420988253,1.8226974939332654,7.061892565912649,53.56148664074902,16.635989361188933
4,baseline_eyes_closed,4500,90.01582070000404,49.99121226697651,6.622222222222222,6.7555555555555555,178,11.056751654765746,5.537901214829631,14.419683010628574,493.53008705190985,73.8818120266589
4,low_cognitive_load,9002,179.95036390000496,50.02490578458759,9.164630082203955,9.064652299489003,353,13.108694394863932,7.713184928250925,16.010303828828256,323.06653913303217,26.135419644184044
