subject,phase,t_start,theta_fz,alpha_pz,log_theta,log_alpha,log_ratio
1,baseline_eyes_open,0.0,5.020712874228955,3.04406031122394,1.6135719304401408,1.1131922529516307,0.5003796774885101
1,baseline_eyes_open,0.9994017455556079,15.922653919948973,8.020980187812794,2.7677428700371327,2.08206063234219,0.6856822376949427
1,baseline_eyes_open,1.9988034911112158,75.79730265363825,5.20777282302493,4.328062706970813,1.650152283183912,2.6779104237869005
1,baseline_eyes_open,2.998205236666824,199.92539794954013,8.793449431404142,5.297944286710108,2.1740070614987386,3.1239372252113697
1,baseline_eyes_open,3.9976069822224316,710.0922574774321,5.115736938173807,6.565394901702936,1.6323214629602105,4.933073438742725
1,baseline_eyes_open,4.99700872777804,24.44088988386437,4.095442758591631,3.1962575446006123,1.409874833216495,1.7863827113841173
1,baseline_eyes_open,5.996410473333648,127.41467546850652,4.802562252503562,4.847446928564458,1.5691495780968248,3.278297350467633
1,baseline_eyes_open,6.995812218889255,219.72072657800928,26.77065389769225,5.3923573153049675,3.287306283744669,2.1050510315602984
1,baseline_eyes_open,7.995213964444863,71.97906239186398,9.798050706430768,4.276375276612503,2.28218345838474,1.9941918182277636
1,baseline_eyes_open,8.99461571000047,65.48523300635867,2.1091261125260825,4.18182466693887,0.7462736970185142,3.4355509699203557
1,baseline_eyes_open,9.99401745555608,15.785935514983187,4.05033370058644,2.7591193863281136,1.3987992729306775,1.360320113397436
1,baseline_eyes_open,10.993419201111687,28.818950127314604,6.732141588592457,3.3610331612928,1.906893308280954,1.454139853011846
1,baseline_eyes_open,11.992820946667296,247.87348888969376,4.061647292050478,5.5129184905619475,1.401588628282905,4.111329862279042
1,baseline_eyes_open,12.992222692222903,120.51834959516114,2.8612402497628326,4.7918020201354885,1.0512551845943712,3.7405468355411173
1,baseline_eyes_open,13.99162443777851,23.802378550063647,4.138632341007443,3.1697855147621565,1.4203653808451828,1.7494201339169737
1,baseline_eyes_open,14.99102618333412,88.73313953878298,2.262557298353256,4.485633433279807,0.8164957215102738,3.6691377117695327
1,baseline_eyes_open,15.990427928889726,211.2284332376327,9.115684007863546,5.35294016984282,2.2099964473187965,3.1429437225240235
1,baseline_eyes_open,16.989829674445335,707.4490089582483,7.275360961043903,6.561665554776252,1.9844934284650286,4.577172126311224
