timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,label
135564.4147055,-70758.6875,-156410.59375,-133791.5,-129586.5,-141153.796875,-154127.40625,-81585.5625,-94097.171875,rightarmflex
135564.4187055,-70180.59375,-151342.09375,-131751.90625,-134050.203125,-143551.40625,-148951.796875,-78092.03125,-97407.7265625,rightarmflex
135564.42270549998,-73733.796875,-150771.59375,-126976.5,-131710.203125,-148309.5,-151575.90625,-72682.8203125,-94275.5,rightarmflex
135564.42670549997,-77998.15625,-154418.203125,-126459.296875,-127171.3984375,-146278.59375,-157335.703125,-75267.75,-90657.6015625,rightarmflex
135564.43070549995,-74870.15625,-158717.5,-129961.0,-126799.703125,-141515.09375,-155141.296875,-81280.328125,-93232.25,rightarmflex
135564.43470549994,-70360.203125,-155498.796875,-133990.5,-130521.5,-140993.40625,-149425.203125,-79129.109375,-97324.046875,rightarmflex
135564.43870549992,-72758.5,-150945.296875,-130892.703125,-134170.40625,-144490.90625,-148723.296875,-73192.8828125,-95080.25,rightarmflex
135564.4427054999,-77770.03125,-153426.59375,-126615.703125,-130852.0,-148502.796875,-152678.796875,-72431.71875,-90911.8828125,rightarmflex
135564.4467054999,-75763.46875,-158497.90625,-129016.3984375,-126882.796875,-145419.09375,-157605.40625,-76416.453125,-90594.84375,rightarmflex
135564.41556949998,-73913.59375,-156410.59375,-133791.5,-129586.5,-141153.796875,-154127.40625,-81585.5625,-94097.171875,rightarmflex
135564.41956949997,-70180.59375,-154531.0,-131751.90625,-134050.203125,-143551.40625,-148951.796875,-78092.03125,-97407.7265625,rightarmflex
135564.42356949995,-73733.796875,-150771.59375,-129966.8984375,-131710.203125,-148309.5,-151575.90625,-72682.8203125,-94275.5,rightarmflex
135564.42756949994,-77998.15625,-154418.203125,-126459.296875,-129951.296875,-146278.59375,-157335.703125,-75267.75,-90657.6015625,rightarmflex
135564.43156949992,-74870.15625,-158717.5,-129961.0,-126799.703125,-144496.5,-155141.296875,-81280.328125,-93232.25,rightarmflex
135564.4355694999,-70360.203125,-155498.796875,-133990.5,-130521.5,-140993.40625,-153043.5,-79129.109375,-97324.046875,rightarmflex
135564.4395694999,-72758.5,-150945.296875,-130892.703125,-134170.40625,-144490.90625,-148723.296875,-76980.4765625,-95080.25,rightarmflex
135564.44356949988,-77770.03125,-153426.59375,-126615.703125,-130852.0,-148502.796875,-152678.796875,-72431.71875,-93441.203125,rightarmflex
135564.44756949987,-77968.421875,-158497.90625,-129016.3984375,-126882.796875,-145419.09375,-157605.40625,-76416.453125,-90594.84375,rightarmflex
135564.4159106,-73913.59375,-158678.703125,-133791.5,-129586.5,-141153.796875,-154127.40625,-81585.5625,-94097.171875,rightarmflex
135564.41991059997,-70180.59375,-154531.0,-133935.796875,-134050.203125,-143551.40625,-148951.796875,-78092.03125,-97407.7265625,rightarmflex
135564.42391059996,-73733.796875,-150771.59375,-129966.8984375,-134054.703125,-148309.5,-151575.90625,-72682.8203125,-94275.5,rightarmflex
135564.42791059994,-77998.15625,-154418.203125,-126459.296875,-129951.296875,-148454.296875,-157335.703125,-75267.75,-90657.6015625,rightarmflex
135564.43191059993,-74870.15625,-158717.5,-129961.0,-126799.703125,-144496.5,-157601.90625,-81280.328125,-93232.25,rightarmflex
135564.43591059992,-70360.203125,-155498.796875,-133990.5,-130521.5,-140993.40625,-153043.5,-81603.3984375,-97324.046875,rightarmflex
135564.4399105999,-72758.5,-150945.296875,-130892.703125,-134170.40625,-144490.90625,-148723.296875,-76980.4765625,-97304.34375,rightarmflex
135564.4439105999,-74743.9609375,-153426.59375,-126615.703125,-130852.0,-148502.796875,-152678.796875,-72431.71875,-93441.203125,rightarmflex
135564.44791059988,-77968.421875,-155445.203125,-129016.3984375,-126882.796875,-145419.09375,-157605.40625,-76416.453125,-90594.84375,rightarmflex
135564.4162438,-73913.59375,-158678.703125,-130927.0,-129586.5,-141153.796875,-154127.40625,-81585.5625,-94097.171875,rightarmflex
135564.42024379998,-70180.59375,-154531.0,-133935.796875,-131468.296875,-143551.40625,-148951.796875,-78092.03125,-97407.7265625,rightarmflex
135564.42424379996,-73733.796875,-150771.59375,-129966.8984375,-134054.703125,-145455.0,-151575.90625,-72682.8203125,-94275.5,rightarmflex
135564.42824379995,-77998.15625,-154418.203125,-126459.296875,-129951.296875,-148454.296875,-153839.296875,-75267.75,-90657.6015625,rightarmflex
135564.43224379994,-74870.15625,-158717.5,-129961.0,-126799.703125,-144496.5,-157601.90625,-77620.5,-93232.25,rightarmflex
135564.43624379992,-70360.203125,-155498.796875,-133990.5,-130521.5,-140993.40625,-153043.5,-81603.3984375,-94979.65625,rightarmflex
135564.4402437999,-70248.1328125,-150945.296875,-130892.703125,-134170.40625,-144490.90625,-148723.296875,-76980.4765625,-97304.34375,rightarmflex
135564.4442437999,-74743.9609375,-150847.203125,-126615.703125,-130852.0,-148502.796875,-152678.796875,-72431.71875,-93441.203125,rightarmflex
135564.44824379988,-77968.421875,-155445.203125,-126534.6015625,-126882.796875,-145419.09375,-157605.40625,-76416.453125,-90594.84375,rightarmflex
135564.416558,-73913.59375,-158678.703125,-130927.0,-126955.703125,-141153.796875,-154127.40625,-81585.5625,-94097.171875,rightarmflex
135564.42055799998,-70180.59375,-154531.0,-133935.796875,-131468.296875,-141066.5,-148951.796875,-78092.03125,-97407.7265625,rightarmflex
