subject,phase,fz_artifacts,pz_artifacts,fz_artifact_pct,pz_artifact_pct,ratio_before,ratio_after,ratio_change_pct
Daniel,baseline_eyes_open,7,2,2.9914529914529915,0.8547008547008547,0.2598079962758574,0.27865853107728367,7.2555637515526294
Daniel,baseline_eyes_closed,7,9,3.004291845493562,3.8626609442060085,0.14962857109666022,0.16092100698860806,7.546978367288504
Daniel,low_cognitive_load,6,12,1.284796573875803,2.569593147751606,2.7467264781416483,4.015804323760225,46.203284372064466
Daniel,high_cognitive_load,10,4,2.1367521367521367,0.8547008547008547,6.471956480640696,6.4631807030760156,-0.13559698046380353
Edgar,baseline_eyes_open,0,2,0.0,0.851063829787234,0.21601775995578135,0.21602642380794726,0.004010712900504032
Edgar,baseline_eyes_closed,0,4,0.0,1.702127659574468,0.4174775097741151,0.4328129864347217,3.6733659422526044
Edgar,low_cognitive_load,8,11,1.7130620985010707,2.355460385438972,0.09802882522370766,0.09795590709209104,-0.07438437770749262
Edgar,high_cognitive_load,5,0,1.0570824524312896,0.0,0.10967779806703819,0.09462257190648438,-13.72677645420236
Edwin,baseline_eyes_open,7,8,3.004291845493562,3.4334763948497855,5.899068550117982,3.2594122686503226,-44.74700131116235
Edwin,baseline_eyes_closed,5,6,2.1367521367521367,2.5641025641025643,0.5842411591772377,5.482621498584849,838.4175374268042
Edwin,low_cognitive_load,37,33,7.939914163090129,7.081545064377682,1.686986577552746,0.9070608707062822,-46.23188573188741
Edwin,high_cognitive_load,3,8,0.6342494714587738,1.6913319238900635,0.24094841084965446,0.24054422781455082,-0.16774671128909624
edwin2,baseline_eyes_open,1,0,0.42735042735042733,0.0,0.2219824749266437,0.22177605236725678,-0.09299047569188978
edwin2,baseline_eyes_closed,3,4,1.2820512820512822,1.7094017094017093,0.48741488497303953,0.50384424823717,3.370714307389111
edwin2,low_cognitive_load,6,14,1.2684989429175475,2.959830866807611,0.2531021126822558,0.25232973509351986,-0.3051644178512225
edwin2,high_cognitive_load,123,13,26.50862068965517,2.8017241379310347,122.39891062246848,1.8546205220540042,-98.48477366945326
eliza,baseline_eyes_open,6,23,2.5641025641025643,9.82905982905983,0.006950396782258287,0.02387765780388646,243.54380838856594
eliza,baseline_eyes_closed,0,3,0.0,1.2820512820512822,0.3828188050004157,0.38431979897186447,0.39208992657691066
eliza,low_cognitive_load,7,16,1.5217391304347827,3.4782608695652173,0.07939836404612387,0.08506206464943675,7.133271159117016
eliza,high_cognitive_load,6,25,1.3071895424836601,5.446623093681917,0.05219228325401884,0.05990654454323659,14.78046333338703
Jeronimo,baseline_eyes_open,198,197,92.5233644859813,92.05607476635514,18.67767493855596,1.3548916108261413,-92.74593001921633
Jeronimo,baseline_eyes_closed,2,0,0.8620689655172413,0.0,1.0621569283459202,1.0612231810492043,-0.08791048401576296
Jeronimo,low_cognitive_load,9,4,1.9230769230769231,0.8547008547008547,0.435503591990285,0.36184041909042697,-16.91448113279884
Jeronimo,high_cognitive_load,132,137,28.085106382978722,29.148936170212767,1.1880681034860126,0.5159582801815711,-56.571657915261454
Joss,baseline_eyes_open,13,10,5.531914893617022,4.25531914893617,0.6519375876392116,0.4172124835568641,-36.00422932083595
Joss,baseline_eyes_closed,1,1,0.43103448275862066,0.43103448275862066,1.455659551291759,1.4614713016788374,0.39925203540354115
Joss,low_cognitive_load,33,16,7.036247334754798,3.411513859275053,2.957893065765107,2.879533095039621,-2.6491820016223966
Joss,high_cognitive_load,19,8,4.033970276008493,1.6985138004246285,11.896924442756797,7.010626590915082,-41.071941537097345
