timestamp,phase,label,ecological_modality,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
171029.94876499995,idle,idle,,86627.00758784142,90576.75707343045,103805.21996831594,96777.37353114356,126250.3085237607,95572.47556745402,113907.15068481538,115358.96603368939
171029.9439022,idle,idle,,50605.622711340635,52918.99675142124,60666.08688055516,56545.92890575811,73773.1390809338,55847.9500833392,66564.56416822615,67415.67243024443
171029.96390219993,idle,idle,,31931.613490273365,33393.97214245326,38288.37567550798,35687.0399452838,46567.41687191503,35241.002340271356,42005.77484256887,42546.02021697933
171030.03027559997,idle,idle,,14376.696569917836,15035.215128949194,17236.31540567159,16068.803552341395,20970.49785846038,15867.443197429415,18913.613099355138,19158.786664874027
171030.0502755999,idle,idle,,-382.7692450649446,-394.82628583251613,-456.8415551619186,-420.63265479223617,-551.3568823972919,-421.1299816887232,-500.6158825386324,-508.1877062385325
171030.04178749997,idle,idle,,-11672.073708907468,-12218.31107126938,-14000.015034834292,-13048.69887180914,-17032.313355457893,-12888.259950141934,-15363.435900367824,-15561.030836918635
171030.0617874999,idle,idle,,-19952.86885584235,-20864.79611574825,-23911.827049702624,-22283.645492700078,-29077.607689407032,-22007.733851983652,-26232.050760981525,-26569.03734264478
171030.05572689994,idle,idle,,-25858.148763179892,-27029.303351358067,-30982.73220772211,-28882.03064728404,-37671.117700175244,-28522.91289792865,-33994.023101563085,-34426.41953801761
171030.07572689987,idle,idle,,-29834.106295061225,-31200.84141561227,-35756.41383886069,-33339.328517701586,-43495.00964761621,-32922.198664483876,-39240.352614070944,-39744.00555384754
171030.13996569993,idle,idle,,-32126.06693734126,-33583.607202085084,-38492.76591796745,-35891.007986582124,-46799.356636310105,-35442.76197209107,-42241.661477650036,-42777.960964339734
171030.1312718,idle,idle,,-32752.945504351945,-34248.8898155544,-39266.20760027193,-36596.92570499645,-47732.61256869523,-36137.3198093582,-43075.94720514496,-43628.76493315586
171030.15127179993,idle,idle,,-32037.04079515205,-33493.62492721238,-38401.877992350535,-35793.32612767732,-46696.69670891939,-35354.19717501365,-42138.81013729144,-42678.35214223371
171030.1506794,idle,idle,,-30341.53835346898,-31725.94888422403,-36362.02208453335,-33902.33272127326,-44209.419772091846,-33482.168990455575,-39904.94837369808,-40410.181047322854
171030.17067939992,idle,idle,,-27962.848339289747,-29246.279584591804,-33514.27619741254,-31247.321954177896,-40757.29731522147,-30862.545884866962,-36783.448235585594,-37252.914189500145
171030.23812069997,idle,idle,,-25021.648981133865,-26171.37736016557,-29990.791221643674,-27958.911348532412,-36460.53237100404,-27615.76494741725,-32917.408596819354,-33333.85155118073
171030.2581206999,idle,idle,,-21578.39623222852,-22562.078067986015,-25868.324159228185,-24113.38075238245,-31453.07829791662,-23818.943292231863,-28386.390636591623,-28748.433340506217
171030.25198889995,idle,idle,,-17809.04370325364,-18632.779784654078,-21350.666618314808,-19915.7447918802,-25970.094395519962,-19665.326731947716,-23440.904193009686,-23743.002969505553
171030.27198889988,idle,idle,,-13931.932889172593,-14571.615473786216,-16696.463289987467,-15570.105710337662,-20312.38765969074,-15377.594513299278,-18328.552684534385,-18566.47808665485
171030.26613829995,idle,idle,,-10080.833064057933,-10553.174928163518,-12096.98704981113,-11277.512553034028,-14711.341377886734,-11138.4330781626,-13274.580446295317,-13441.882023779515
171030.3214888,idle,idle,,-6339.54922041244,-6633.0276155559295,-7587.56989605546,-7082.229988243799,-9238.415021263323,-6997.885982959624,-8337.12171312862,-8443.594714068362
171030.34148879992,idle,idle,,-2710.946942461403,-2835.909713938581,-3247.9595949173877,-3028.0423963220396,-3954.7759952649517,-2991.0522239213797,-3565.5211983617965,-3612.9160385978266
171030.3315828,idle,idle,,727.9971160083207,754.7223984285899,859.1548529967927,809.0767248494707,1041.8014677139686,797.2477259260285,944.7120984771532,957.0059995421335
171030.35158279992,idle,idle,,3863.356572039743,4038.8019154136146,4634.498492807286,4310.873965965348,5627.040984170909,4264.620663615993,5085.86720141631,5150.57538219479
171030.43525759998,idle,idle,,6666.259357080981,6964.418150930195,7973.536790643463,7442.074998890619,9693.739930730133,7349.383479536961,8763.42427333827,8873.449977021168
171030.4552575999,idle,idle,,9093.598704300983,9510.275959690698,10894.919601991187,10170.765054067748,13244.431262348655,10047.667324377078,11965.854172088772,12115.150423667714
171030.44728539995,idle,idle,,11175.014390462795,11690.248580854382,13398.248158940556,12488.15332129965,16281.574430710538,12337.813358881625,14701.89486158721,14893.976170365579
171030.46728539988,idle,idle,,12910.078921886965,13509.430033255294,15486.909905443114,14427.415632790806,18801.6868690857,14249.328785693062,16984.620980493833,17204.492172860093
171030.46100069993,idle,idle,,14271.989980635095,14930.554145649285,17098.117906075553,15941.874530566822,20788.97563290632,15744.548270583231,18769.50386836225,19005.843917791808
171030.519079,idle,idle,,15239.369746963777,15938.823533928991,18265.797777510183,17029.13571058913,22200.723314887644,16824.18759579617,20045.632542539242,20302.14000422593
171030.53907899992,idle,idle,,15858.254348115228,16587.04560832629,19018.656464288702,17718.246673486217,23105.359808543337,17501.15653410578,20861.598807162627,21128.53253899664
171030.53190089998,idle,idle,,16155.127131684136,16897.435357297276,19369.567652928163,18041.72124758307,23526.568529095057,17813.054116695504,21239.35244653833,21508.18630126464
171030.5519008999,idle,idle,,16165.583375709837,16898.119199034136,19352.031605866552,18052.110650989336,23537.492844837263,17831.10295949452,21249.8420319438,21519.45132309194
171030.54679499997,idle,idle,,15882.751843485354,16596.942293132248,19018.984507293415,17746.73697014815,23121.698842981477,17527.441445909306,20886.010351178214,21151.193892603656
171030.5667949999,idle,idle,,15337.492253277082,16034.487464283598,18373.520041597687,17129.803137735646,22332.495818987674,16918.05371437152,20163.92311675971,20423.334788743527
171030.62703179996,idle,idle,,14564.700733856293,15233.814824391291,17446.475373942045,16276.6348941756,21218.571321026528,16069.035944095196,19152.590456553815,19400.692583911674
171030.6470317999,idle,idle,,13614.953000603988,14232.135119751942,16336.060111430246,15207.885828412745,19839.221374610028,15024.04172426306,17904.79059752058,18137.67748463194
171030.63852209994,idle,idle,,12508.044768302185,13079.512913660365,14997.34810590543,13980.80547600626,18236.691597768113,13808.075578696225,16457.122429866264,16670.192654733964
171030.70778529998,idle,idle,,11278.94744734654,11799.811994459118,13526.811777739244,12612.565346721361,16450.060508564613,12461.078261413439,14848.728070143608,15039.614892168871
171030.7277852999,idle,idle,,9989.230695480403,10445.017238703282,11974.072839085415,11154.15540582798,14539.886151078144,11013.011861541014,13118.093403105842,13285.03723281819
171030.71907249998,idle,idle,,8595.53722355487,8999.88659316741,10313.59304026695,9609.769608892768,12533.545931272596,9497.65807037721,11317.005281640793,11458.55309675794
171030.7390724999,idle,idle,,7178.163154449671,7515.500178692065,8619.856389599188,8026.7209752713,10476.165653298984,7930.963418369933,9456.050978529298,9575.636338998203
171030.72830209997,idle,idle,,5755.2479153165605,6023.190506160208,6917.213247512133,6438.22559324222,8408.397846934271,6363.805953321295,7586.996463286642,7684.105306221508
171030.7483020999,idle,idle,,4374.470272079311,4569.674085223158,5245.942217799,4879.861178325696,6374.6537209601265,4821.036534284581,5744.358602710728,5821.388882479416
171030.82579469995,idle,idle,,2986.3079290368723,3138.4723210186144,3598.12896707994,3356.1252172037935,4395.589599217233,3326.393048600895,3966.45296879874,4010.644756386809
171030.84579469988,idle,idle,,1679.4637212867333,1776.1052110223902,2046.464989737622,1882.3427353414781,2480.4166364021435,1863.3067947383581,2227.9828666503217,2259.496445516066
171030.83101479994,idle,idle,,452.3019797727761,471.96668673794585,549.2505664567802,512.7187346660786,680.614128543744,508.66577750301485,603.9011899842191,615.5385254133957
