phase,mean,median,std,min,max,n_windows,n_samples
baseline_eyes_open,0.8781201375420727,0.8781201375420727,0.0,0.8781201375420727,0.8781201375420727,1,242
low_load,1.0855766187583804,1.0855766187583804,0.0,1.0855766187583804,1.0855766187583804,1,322
high_load,13.737249253124642,13.737249253124642,0.0,13.737249253124642,13.737249253124642,1,323
