timestamp,phase_label,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
9797.6784233,baseline_start,8069.7841796875,-38321.39453125,-42865.4140625,52304.0625,-375000.03125,-375000.03125,-28497.84765625,2180.770263671875
9797.6824233,baseline_start,7966.6533203125,-38097.83203125,-42828.1328125,52856.01953125,-375000.03125,-375000.03125,-28569.373046875,2350.419921875
9797.686423300001,baseline_start,7816.091796875,-37779.54296875,-42584.18359375,54473.48046875,-375000.03125,-375000.03125,-28567.763671875,2792.179931640625
9797.690423300002,baseline_start,7895.39599609375,-37948.2109375,-42536.0390625,54386.171875,-375000.03125,-375000.03125,-28460.1171875,2754.4501953125
9797.694423300003,baseline_start,8061.3798828125,-38326.04296875,-42834.703125,52469.15234375,-375000.03125,-375000.03125,-28473.08203125,2227.843017578125
9797.698423300004,baseline_start,7987.4404296875,-38152.4140625,-42849.140625,52679.39453125,-375000.03125,-375000.03125,-28553.994140625,2306.6552734375
9797.702423300005,baseline_start,7841.8857421875,-37819.375,-42619.58984375,54230.875,-375000.03125,-375000.03125,-28558.46484375,2743.408203125
9797.706423300006,baseline_start,7872.6865234375,-37854.15234375,-42497.63671875,54671.3359375,-375000.03125,-375000.03125,-28469.86328125,2843.49951171875
9797.710423300006,baseline_start,8073.85205078125,-38283.3046875,-42782.04296875,52700.44921875,-375000.03125,-375000.03125,-28455.19921875,2290.204345703125
9797.7511632,baseline_start,8017.88330078125,-38194.2578125,-42861.92578125,52539.60546875,-375000.03125,-375000.03125,-28547.333984375,2262.17529296875
9797.755163200001,baseline_start,7857.4873046875,-37893.44921875,-42662.86328125,53947.0078125,-375000.03125,-375000.03125,-28558.197265625,2663.97021484375
9797.759163200002,baseline_start,7825.703125,-37816.19921875,-42494.375,54827.53125,-375000.03125,-375000.03125,-28483.18359375,2889.990966796875
9797.763163200003,baseline_start,8043.54296875,-38250.00390625,-42722.18359375,53023.38671875,-375000.03125,-375000.03125,-28434.14453125,2384.484130859375
9797.767163200004,baseline_start,8037.46337890625,-38236.63671875,-42860.98828125,52437.32421875,-375000.03125,-375000.03125,-28525.072265625,2236.336669921875
9797.771163200005,baseline_start,7903.39794921875,-37939.0,-42700.859375,53656.1640625,-375000.03125,-375000.03125,-28557.302734375,2584.040283203125
