timestamp,phase,label,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
10005.638292700003,setup,setup,-257.3370167770072,-582.2841056542584,-43.67783361441889,-146.12516316154233,-3.442603338044137e-05,-3.442603338044137e-05,-45.63765316282843,-52.46560927496648
10006.042184500004,setup,setup,-144.5546679863687,-76.92192256455655,-127.83693840871456,-253.64707693979926,-3.261942674726015e-05,-3.261942674726015e-05,-132.65736075691711,-113.83323774480141
10006.397204300005,setup,setup,840.9695181558996,2037.495259015339,305.58377174998986,376.2256934919087,-3.109502449660795e-05,-3.109502449660795e-05,108.82673755765973,-167.1237718577604
10006.791424400004,setup,setup,-183.76085022304096,-652.925285764697,62.64000079602556,-35.834078575230706,-3.293225472589256e-05,-3.293225472589256e-05,87.14155415956884,86.82472739676086
10007.184920300004,setup,setup,-232.2007883804531,674.8924219382761,-167.54301776343618,-50.14397539091988,-3.669642137538176e-05,-3.669642137538176e-05,-121.82275062571625,-3.196351495264935
10007.566875800007,setup,setup,-41.957604463808366,-1735.2303482875705,-91.05241425826534,-174.77329071696477,-3.4528655305621214e-05,-3.4528655305621214e-05,-87.4007901717714,-213.09299546728744
10007.955746300006,setup,setup,53.49556578418378,1168.0028989045204,38.78750968479562,-131.95407334650827,-3.222926716262009e-05,-3.222926716262009e-05,58.28834191789156,76.666278160621
10008.369404100005,setup,setup,48.26375291402337,-311.92801557445637,64.1942732977268,100.793664254752,-3.5989605748909526e-05,-3.5989605748909526e-05,51.582341449592604,63.7940269867604
10008.749479800006,setup,setup,-117.03572150963737,-172.96394076022443,-151.4294969755665,-91.15322553802434,-3.554182512743864e-05,-3.554182512743864e-05,-161.59776456444706,-178.06297800222
10009.158424000007,setup,setup,-2.7748008250978273,80.10676899440841,20.44792049746229,18.611010200202145,-3.171626212861156e-05,-3.171626212861156e-05,33.1853787067721,31.268647312575922
10009.542578900007,setup,setup,166.1487433583461,93.56483224495878,145.7039411982796,158.4661300821581,-3.176081827405142e-05,-3.176081827405142e-05,111.35944274067697,99.44314047123407
