timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,label
297833.8206569,-78879.484375,-149632.546875,-81454.09375,-119397.78125,-108164.421875,-150174.65625,-64542.71484375,-112562.9765625,rest
297833.8246569,-78944.75,-149462.625,-81505.8125,-119539.5390625,-108503.859375,-150558.265625,-64948.98046875,-112977.3828125,rest
297833.82865690003,-78991.953125,-148932.4375,-81736.125,-119834.359375,-108603.1875,-150976.0625,-65254.6640625,-113401.703125,rest
297833.83265690005,-78960.578125,-149104.09375,-81754.5,-119658.765625,-108164.6484375,-150503.09375,-64744.46484375,-112888.2421875,rest
297833.83665690006,-78886.859375,-149582.828125,-81479.796875,-119411.6875,-108134.1171875,-150171.625,-64518.93359375,-112553.3671875,rest
297833.8406569001,-78922.9765625,-149515.234375,-81479.125,-119487.546875,-108429.828125,-150456.6875,-64840.6640625,-112865.0859375,rest
297833.8446569001,-78975.953125,-148976.0625,-81692.0,-119796.671875,-108635.4609375,-150952.59375,-65253.6796875,-113378.546875,rest
297833.8486569001,-78941.125,-148994.3125,-81764.46875,-119689.4765625,-108194.2890625,-150576.5,-64808.4765625,-112959.9921875,rest
297833.8526569001,-78878.8984375,-149506.96875,-81498.2109375,-119414.7734375,-108095.1328125,-150164.640625,-64498.37109375,-112545.6796875,rest
297833.8572133,-78909.1640625,-149559.765625,-81456.4609375,-119431.578125,-108368.5390625,-150351.734375,-64746.38671875,-112758.109375,rest
297833.8612133,-78972.78125,-149046.4375,-81636.4765625,-119735.7890625,-108650.21875,-150892.734375,-65220.51171875,-113324.5,rest
297833.86521330004,-78959.859375,-148911.875,-81777.6953125,-119723.8984375,-108255.171875,-150673.734375,-64896.09765625,-113065.265625,rest
297833.86921330006,-78886.6328125,-149392.53125,-81527.5859375,-119429.4765625,-108053.875,-150181.453125,-64494.125,-112559.7578125,rest
297833.8732133001,-78893.203125,-149545.0625,-81435.671875,-119390.9921875,-108288.65625,-150271.4375,-64668.01953125,-112670.3125,rest
297833.8772133001,-78946.3125,-149083.5,-81574.96875,-119661.265625,-108622.0078125,-150804.53125,-65160.3828125,-113236.8828125,rest
297833.8812133001,-78953.8671875,-148825.828125,-81769.96875,-119744.28125,-108328.125,-150753.609375,-64985.4609375,-113148.5078125,rest
297833.8852133001,-78897.3203125,-149279.703125,-81574.65625,-119456.390625,-108038.765625,-150224.140625,-64516.96875,-112595.5234375,rest
297833.88921330014,-78884.1796875,-149537.453125,-81432.0078125,-119372.2578125,-108230.40625,-150218.375,-64605.2578125,-112604.640625,rest
297833.93342859996,-78955.5703125,-149160.921875,-81552.84375,-119615.4453125,-108602.4765625,-150727.234375,-65103.1640625,-113149.84375,rest
297833.9374286,-78975.59375,-148802.046875,-81777.296875,-119782.0546875,-108430.859375,-150841.375,-65089.6171875,-113243.2734375,rest
297833.9414286,-78905.3203125,-149173.171875,-81615.3359375,-119489.46875,-108038.3125,-150276.453125,-64549.8671875,-112650.5546875,rest
297833.9454286,-78865.3984375,-149524.8125,-81415.0625,-119349.8203125,-108172.9609375,-150169.515625,-64548.484375,-112558.734375,rest
297833.9494286,-78920.5234375,-149246.65625,-81493.515625,-119538.9609375,-108537.203125,-150615.25,-65002.71484375,-113036.96875,rest
297833.95342860004,-78957.625,-148781.296875,-81730.1328125,-119777.09375,-108492.59375,-150887.765625,-65153.90234375,-113299.3359375,rest
297833.95742860006,-78903.265625,-149047.734375,-81648.0546875,-119530.953125,-108044.0390625,-150347.03125,-64603.19921875,-112723.8203125,rest
297833.9614286001,-78860.703125,-149489.4375,-81419.890625,-119351.25,-108132.1953125,-150144.84375,-64511.421875,-112531.640625,rest
297833.9654286001,-78910.4140625,-149323.46875,-81467.7265625,-119480.578125,-108482.890625,-150508.8125,-64908.16796875,-112921.140625,rest
297833.9396851,-78945.1484375,-148817.640625,-81690.8828125,-119752.1015625,-108552.8046875,-150892.515625,-65188.59375,-113308.6328125,rest
297833.9436851,-78906.078125,-148965.78125,-81687.21875,-119566.2265625,-108065.1796875,-150421.0625,-64665.25,-112798.390625,rest
297833.9476851,-78860.125,-149455.734375,-81442.5546875,-119354.15625,-108085.5234375,-150127.59375,-64482.3671875,-112512.8203125,rest
297833.95168510004,-78896.828125,-149397.125,-81448.4609375,-119435.15625,-108408.015625,-150412.84375,-64813.6640625,-112825.96875,rest
297833.95568510005,-78933.125,-148868.515625,-81637.6875,-119721.796875,-108587.09375,-150878.65625,-65193.375,-113305.859375,rest
297833.95968510007,-78902.4609375,-148863.5,-81696.828125,-119604.8046875,-108097.9921875,-150506.265625,-64733.8671875,-112891.015625,rest
297833.9636851001,-78858.25,-149375.140625,-81456.4140625,-119366.984375,-108040.4609375,-150130.1875,-64462.29296875,-112512.328125,rest
297833.9676851001,-78890.296875,-149438.078125,-81428.1171875,-119403.1015625,-108341.3125,-150331.25,-64730.15625,-112737.90625,rest
297833.9716851001,-78952.796875,-148959.703125,-81615.6953125,-119704.40625,-108641.453125,-150856.703125,-65201.0625,-113284.984375,rest
297833.9769131,-78936.5703125,-148827.65625,-81742.203125,-119681.0234375,-108205.015625,-150630.09375,-64859.796875,-113015.9140625,rest
297833.9809131,-78859.2734375,-149305.796875,-81498.796875,-119402.1171875,-108028.390625,-150163.84375,-64478.43359375,-112543.1328125,rest
297833.9849131,-78882.1640625,-149478.265625,-81428.65625,-119382.3203125,-108297.0625,-150269.4375,-64671.91015625,-112669.5546875,rest
297833.98891310004,-78943.9921875,-149043.171875,-81573.1328125,-119645.6640625,-108638.4609375,-150785.3125,-65154.39453125,-113214.796875,rest
297833.99291310005,-78953.8203125,-148782.328125,-81750.25,-119720.2734375,-108280.875,-150732.5625,-64961.23046875,-113128.390625,rest
297833.99691310007,-78885.7890625,-149213.984375,-81547.5625,-119442.9765625,-107990.796875,-150217.984375,-64497.1171875,-112597.671875,rest
297834.0009131001,-78871.8359375,-149478.53125,-81415.15625,-119356.34375,-108216.7265625,-150208.953125,-64594.83984375,-112602.453125,rest
297834.0049131001,-78927.4453125,-149130.515625,-81533.84375,-119586.1171875,-108616.328125,-150698.359375,-65083.76171875,-113123.3828125,rest
297834.0089131001,-78948.859375,-148765.78125,-81736.078125,-119739.453125,-108371.1796875,-150801.71875,-65046.5234375,-113201.5234375,rest
297834.0103489,-78902.90625,-149114.34375,-81600.8984375,-119488.0390625,-107976.8515625,-150285.921875,-64545.48828125,-112659.8515625,rest
297834.0143489,-78869.0625,-149484.125,-81423.15625,-119357.0625,-108169.2109375,-150181.59375,-64561.04296875,-112573.84375,rest
297834.0183489,-78915.9140625,-149249.03125,-81507.8203125,-119534.9375,-108587.3671875,-150599.875,-65010.1796875,-113028.1171875,rest
297834.02234890003,-78948.640625,-148819.296875,-81717.125,-119750.8515625,-108476.8125,-150849.953125,-65127.796875,-113261.25,rest
297834.02634890005,-78902.546875,-149044.25,-81638.2265625,-119537.078125,-107960.9765625,-150365.1875,-64603.01953125,-112745.4609375,rest
297834.03034890007,-78865.0390625,-149490.25,-81438.3984375,-119376.6875,-108118.2421875,-150171.171875,-64535.16015625,-112559.984375,rest
297834.0343489001,-78908.2734375,-149371.609375,-81494.4140625,-119494.390625,-108553.390625,-150505.28125,-64923.72265625,-112921.9453125,rest
297834.0383489001,-78945.953125,-148909.28125,-81678.7265625,-119724.609375,-108573.234375,-150845.65625,-65157.65625,-113259.4140625,rest
297834.0423489001,-78922.0859375,-148962.34375,-81668.0,-119583.796875,-107948.59375,-150466.171875,-64667.9296875,-112846.53125,rest
297834.0496944,-78857.625,-149429.9375,-81458.1171875,-119389.78125,-108060.484375,-150175.203125,-64513.8828125,-112561.1015625,rest
297834.0536944,-78885.0703125,-149424.046875,-81475.328125,-119445.9765625,-108488.390625,-150410.0625,-64837.22265625,-112822.75,rest
297834.0576944,-78926.421875,-148999.0,-81644.078125,-119688.7578125,-108684.328125,-150813.203125,-65174.51171875,-113232.0546875,rest
297834.06169440004,-78932.140625,-148897.890625,-81684.265625,-119631.671875,-107977.25,-150566.796875,-64753.3125,-112948.6328125,rest
